t,phi1,phi2,p1,p2
0.00000, 0.00000, 0.00000, 4.00000, 2.00000
0.00100, 0.00200, 0.00000, 3.99998, 2.00000
0.00200, 0.00400, 0.00000, 3.99992, 2.00000
0.00300, 0.00600, 0.00000, 3.99982, 2.00000
0.00400, 0.00800, 0.00000, 3.99969, 2.00000
0.00500, 0.01000, 0.00000, 3.99951, 2.00000
0.00600, 0.01200, 0.00000, 3.99929, 2.00000
0.00700, 0.01400, 0.00000, 3.99904, 2.00000
0.00800, 0.01600, 0.00000, 3.99874, 2.00000
0.00900, 0.01799, 0.00001, 3.99841, 2.00000
0.01000, 0.01999, 0.00001, 3.99804, 2.00000
0.01100, 0.02199, 0.00001, 3.99763, 2.00000
0.01200, 0.02399, 0.00002, 3.99718, 2.00000
0.01300, 0.02598, 0.00002, 3.99669, 2.00000
0.01400, 0.02798, 0.00003, 3.99616, 2.00000
0.01500, 0.02997, 0.00003, 3.99559, 2.00000
0.01600, 0.03197, 0.00004, 3.99498, 2.00000
0.01700, 0.03396, 0.00005, 3.99433, 2.00000
0.01800, 0.03595, 0.00005, 3.99365, 2.00000
0.01900, 0.03795, 0.00006, 3.99292, 2.00000
0.02000, 0.03994, 0.00007, 3.99216, 2.00000
0.02100, 0.04193, 0.00008, 3.99135, 2.00000
0.02200, 0.04392, 0.00010, 3.99051, 2.00000
0.02300, 0.04590, 0.00011, 3.98963, 2.00000
0.02400, 0.04789, 0.00013, 3.98871, 1.99999
0.02500, 0.04988, 0.00014, 3.98775, 1.99999
0.02600, 0.05186, 0.00016, 3.98675, 1.99999
0.02700, 0.05385, 0.00018, 3.98571, 1.99999
0.02800, 0.05583, 0.00020, 3.98463, 1.99999
0.02900, 0.05781, 0.00022, 3.98352, 1.99999
0.03000, 0.05979, 0.00025, 3.98236, 1.99999
0.03100, 0.06177, 0.00027, 3.98117, 1.99998
0.03200, 0.06374, 0.00030, 3.97993, 1.99998
0.03300, 0.06572, 0.00033, 3.97866, 1.99998
0.03400, 0.06769, 0.00036, 3.97735, 1.99998
0.03500, 0.06966, 0.00039, 3.97600, 1.99997
0.03600, 0.07164, 0.00043, 3.97461, 1.99997
0.03700, 0.07360, 0.00046, 3.97318, 1.99997
